frame	predictor	basis	candidate	loss	baseline	absolute_difference
NCP	sigma	3	1.0	-0.27621133964189387	-0.27621133964189387	0.0
NCP	sigma	4	0.0	-0.19193738992391163	-0.19193738992391163	0.0
NCP	sigma	4	0.1	-0.19871532279755683	-0.19871532279755683	0.0
NCP	sigma	4	0.2	-0.20479858961086542	-0.20479858961086542	0.0
NCP	sigma	4	0.3	-0.2101123264551558	-0.2101123264551558	0.0
NCP	sigma	4	0.4	-0.21459000481720147	-0.21459000481720147	0.0
NCP	sigma	4	0.5	-0.2181747674769027	-0.2181747674769027	0.0
NCP	sigma	4	0.6	-0.22082059707887924	-0.22082059707887924	0.0
NCP	sigma	4	0.7	-0.22249328001767618	-0.22249328001767618	0.0
NCP	sigma	4	0.8	-0.22317113362180024	-0.22317113362180024	0.0
NCP	sigma	4	0.9	-0.22284547184380754	-0.22284547184380754	0.0
NCP	sigma	4	1.0	-0.22152079334301664	-0.22152079334301664	0.0
NCP	sigma	5	0.0	-0.20126188139123063	-0.20126188139123063	0.0
NCP	sigma	5	0.1	-0.20631955984079628	-0.20631955984079628	0.0
NCP	sigma	5	0.2	-0.21071635557598378	-0.21071635557598378	0.0
NCP	sigma	5	0.3	-0.2144112632211469	-0.2144112632211469	0.0
NCP	sigma	5	0.4	-0.2173696158588407	-0.2173696158588407	0.0
NCP	sigma	5	0.5	-0.21956348826071123	-0.21956348826071123	0.0
NCP	sigma	5	0.6	-0.22097202657617354	-0.22097202657617354	0.0
NCP	sigma	5	0.7	-0.22158170328317023	-0.22158170328317023	0.0
NCP	sigma	5	0.8	-0.22138649576245223	-0.22138649576245223	0.0
NCP	sigma	5	0.9	-0.22038798634641896	-0.22038798634641896	0.0
