model	sampler	parameter	mean	sd	bulk_ess	mcse	split_rhat	tail_ess
brms NCP	Native Stan	total_intercept[715]	6386.191060921456	87.14391384519202	2066.5662521155928	1.917348165631214	0.9999079066260197	1552.4951250699528
brms NCP	Native Stan	total_intercept[716]	6234.526707242123	128.32205199044395	2065.119604989017	2.8278465327811517	1.0037010181162878	1677.8474510790352
brms NCP	Native Stan	total_intercept[717]	6953.755921692118	106.90755606850249	2233.0604759607804	2.2553554368827164	1.0001000967152296	1759.6210200368077
brms NCP	Native Stan	total_intercept[718]	6774.156251290822	116.58438746909684	1603.9964928735699	2.9055110081391486	0.9995875058196931	1589.4483332004663
brms NCP	Native Stan	total_intercept[719]	10160.368223102061	117.51402640174322	2525.691966046216	2.3452812069576257	0.9996800156592852	1775.0441963457888
brms NCP	Native Stan	total_intercept[720]	8771.451711116384	124.07910071096192	1776.9865524077222	2.9214829710608066	1.0002938749161085	1577.744594695139
brms NCP	Native Stan	total_load[701]	36.48367995326074	17.346815478022503	3229.016955523093	0.3070469943621317	1.0004314743962277	1616.1184876867521
brms NCP	Native Stan	total_load[702]	22.792456855977093	11.314742124655922	3235.673696248896	0.1990593431459088	1.0001017869072772	1737.2757604432015
brms NCP	Native Stan	total_load[703]	20.860692111822907	12.438153763873933	3731.4474040358737	0.20407756434603141	0.9996243410721156	1673.2908376738199
brms NCP	Native Stan	total_load[704]	69.59336018946873	13.63047941667326	3585.504975148045	0.22898418254885333	1.000346167963834	1650.6012889957003
brms NCP	Native Stan	total_load[705]	37.817804543007426	15.71402037084965	4010.820720657887	0.24801030539335112	1.0000344668302197	1731.0236029561022
brms NCP	Native Stan	total_load[706]	52.74970839515759	15.758167365892048	3752.1495645762666	0.25646726974354556	0.9995400355170998	1458.517867333822
brms NCP	Native Stan	total_load[707]	57.14490941074769	16.47743548356235	2804.861328718788	0.311178863185088	1.000246912855635	1371.0039296789887
brms NCP	Native Stan	total_load[708]	33.12129820393665	17.385998100769207	3043.917942895188	0.3165038148605611	1.0007852065543625	1438.223322164124
brms NCP	Native Stan	total_load[709]	15.414343286220099	18.920426138000902	3079.6570806182367	0.3409348492096192	0.9995193492292388	1549.0657440177952
brms NCP	Native Stan	total_load[710]	-15.855754712701128	20.510011195345903	3022.387576243674	0.37321249076473423	1.0026442977676069	1623.2643143366734
brms NCP	Native Stan	total_load[711]	73.30927510699662	21.028578939131915	2945.7218050535303	0.38776919583258446	0.9996162879425704	1511.940442649471
brms NCP	Native Stan	total_load[712]	175.47540229848843	24.119791988036592	2887.826103028058	0.447601434897976	0.9997523829703584	1785.285375866933
brms NCP	Native Stan	total_load[713]	45.96242879938445	24.40706391872718	2643.600375342495	0.4730523751290477	0.9997521632186123	1456.894339487233
brms NCP	Native Stan	total_load[714]	55.824063653860314	26.099837891344176	2294.245865545189	0.545777083738007	1.0001572169476738	1549.1950765299903
brms NCP	Native Stan	total_load[715]	16.551870938998462	27.78574399337311	2306.0863154721305	0.5794663459134752	0.9996726599617305	1377.6291319391987
brms NCP	Native Stan	total_load[716]	25.003090911865236	37.53133153409329	2120.8278415859854	0.813943648185094	1.0015585520464136	1394.398236975948
brms NCP	Native Stan	total_load[717]	152.29346589364658	34.25088381664062	2344.3718877168367	0.706983189475484	1.0020289437799674	1406.1570513408167
brms NCP	Native Stan	total_load[718]	171.72729493494174	37.01020892599203	1547.4359398072306	0.9364347140908278	0.9995923476312256	1279.3531364441135
brms NCP	Native Stan	total_load[719]	27.72952432520402	37.986133784094555	2670.164756742771	0.7347690325003795	1.0000914703926922	1552.675377223797
brms NCP	Native Stan	total_load[720]	103.43890273673375	37.72149920660636	2191.343784718901	0.8055155931078491	0.9998992580518821	1462.6742950847736
brms NCP	WHMC	log_tau_intercept	7.831075042407582	0.15173640971586988	83.74104966131779	0.016702562396953863	1.0009268461778908	163.03517768578172
brms NCP	WHMC	log_tau_load	4.080487180951077	0.21810176843988532	436.0851940783442	0.010445885618230117	1.000838241473989	798.2814252486326
brms NCP	WHMC	log_sigma_intercept	6.051096673535706	0.015142444183436259	3409.280964466746	0.00026085090707818245	0.9998720274694772	1028.6108363633502
brms NCP	WHMC	log_sigma_subj_slope	0.07826013586507267	0.0028118754191019464	4888.062996665305	4.005211101166372e-5	1.0035437786586807	1383.1042771306684
brms NCP	WHMC	total_intercept[701]	614.5732989556934	53.57860914755959	2529.2385055555333	1.0679575641953152	1.0020875544251897	1574.3315368010556
brms NCP	WHMC	total_intercept[702]	1554.9440048304018	34.88003573266693	2631.7724027128734	0.6804879261099146	1.000086639062045	1840.9913852120076
brms NCP	WHMC	total_intercept[703]	1835.4698560925863	36.70314140903989	2508.867188871734	0.7359644994827689	1.0006390396588873	1574.9911922618
brms NCP	WHMC	total_intercept[704]	4816.185550432952	40.765556422220676	2699.4020264551723	0.7800671329286977	1.000632952779776	1793.1498857825213
brms NCP	WHMC	total_intercept[705]	4118.830257909918	46.97822878188663	2341.5283628459597	0.9688245481641888	0.9999997955800276	1760.5839830352056
brms NCP	WHMC	total_intercept[706]	5511.812933721297	46.027731625587236	2531.5163610120558	0.9153516099259954	1.0023296525661691	1443.8430406126377
brms NCP	WHMC	total_intercept[707]	5383.8201614029385	50.87510285497479	2225.06896478339	1.08460384209496	0.9998600226712424	1368.0038442606806
brms NCP	WHMC	total_intercept[708]	5018.4233625304605	52.4512358812668	2540.3821023778933	1.040606171061999	0.9995600919891247	1883.3132454084302
brms NCP	WHMC	total_intercept[709]	4326.837461749792	57.09656191777569	2333.379206309299	1.177951247993284	0.9999389794952096	1412.0541055936012
brms NCP	WHMC	total_intercept[710]	5654.483962543418	64.51400826876824	2559.7599118522194	1.274006411632612	0.9999361993734366	1708.9142709766425
brms NCP	WHMC	total_intercept[711]	3736.017973558548	68.55503717261546	2196.7875203326385	1.4633409723764985	1.0026077588423072	1471.3539092784722
brms NCP	WHMC	total_intercept[712]	6562.732218027392	75.40671242289686	2394.4036957736716	1.5346065146052768	1.0019183136479046	1748.7692001429984
