model	sampler	qoi	bulk_ess	mcse
brms NCP	Native Stan	total_load[705]	4010.820720657887	0.24801030539335112
brms NCP	Native Stan	total_load[706]	3752.1495645762666	0.25646726974354556
brms NCP	Native Stan	total_load[707]	2804.861328718788	0.311178863185088
brms NCP	Native Stan	total_load[708]	3043.917942895188	0.3165038148605611
brms NCP	Native Stan	total_load[709]	3079.6570806182367	0.3409348492096192
brms NCP	Native Stan	total_load[710]	3022.387576243674	0.37321249076473423
brms NCP	Native Stan	total_load[711]	2945.7218050535303	0.38776919583258446
brms NCP	Native Stan	total_load[712]	2887.826103028058	0.447601434897976
brms NCP	Native Stan	total_load[713]	2643.600375342495	0.4730523751290477
brms NCP	Native Stan	total_load[714]	2294.245865545189	0.545777083738007
brms NCP	Native Stan	total_load[715]	2306.0863154721305	0.5794663459134752
brms NCP	Native Stan	total_load[716]	2120.8278415859854	0.813943648185094
brms NCP	Native Stan	total_load[717]	2344.3718877168367	0.706983189475484
brms NCP	Native Stan	total_load[718]	1547.4359398072306	0.9364347140908278
brms NCP	Native Stan	total_load[719]	2670.164756742771	0.7347690325003795
brms NCP	Native Stan	total_load[720]	2191.343784718901	0.8055155931078491
brms NCP	WHMC	population_intercept_at_mean_load	129.53312271536436	42.432854236131895
brms NCP	WHMC	population_load	536.4232174241685	0.661163712412412
brms NCP	WHMC	log_tau_intercept	83.74104966131779	0.016702562396953863
brms NCP	WHMC	log_tau_load	436.0851940783442	0.010445885618230117
brms NCP	WHMC	log_sigma_intercept	3409.280964466746	0.00026085090707818245
brms NCP	WHMC	log_sigma_subj_slope	4888.062996665305	4.005211101166372e-5
brms NCP	WHMC	total_intercept[701]	2529.2385055555333	1.0679575641953152
brms NCP	WHMC	total_intercept[702]	2631.7724027128734	0.6804879261099146
brms NCP	WHMC	total_intercept[703]	2508.867188871734	0.7359644994827689
brms NCP	WHMC	total_intercept[704]	2699.4020264551723	0.7800671329286977
brms NCP	WHMC	total_intercept[705]	2341.5283628459597	0.9688245481641888
brms NCP	WHMC	total_intercept[706]	2531.5163610120558	0.9153516099259954
brms NCP	WHMC	total_intercept[707]	2225.06896478339	1.08460384209496
brms NCP	WHMC	total_intercept[708]	2540.3821023778933	1.040606171061999
brms NCP	WHMC	total_intercept[709]	2333.379206309299	1.177951247993284
brms NCP	WHMC	total_intercept[710]	2559.7599118522194	1.274006411632612
brms NCP	WHMC	total_intercept[711]	2196.7875203326385	1.4633409723764985
brms NCP	WHMC	total_intercept[712]	2394.4036957736716	1.5346065146052768
brms NCP	WHMC	total_intercept[713]	2022.3733908219094	1.6684957290082365
brms NCP	WHMC	total_intercept[714]	2087.8499952277416	1.8098394157566398
brms NCP	WHMC	total_intercept[715]	2484.0023948948274	1.8234094887124932
brms NCP	WHMC	total_intercept[716]	2195.5928781445114	2.6111244602361663
brms NCP	WHMC	total_intercept[717]	2140.6300344857327	2.198445715257158
brms NCP	WHMC	total_intercept[718]	1752.9382218884261	2.764499277003685
brms NCP	WHMC	total_intercept[719]	1956.381219867414	2.565469529822477
brms NCP	WHMC	total_intercept[720]	2522.322675524044	2.396609103202354
brms NCP	WHMC	total_load[701]	3156.7651227538104	0.32006977501933315
brms NCP	WHMC	total_load[702]	3179.164228714625	0.2070513263911536
brms NCP	WHMC	total_load[703]	2696.998444961252	0.23485049063680852
brms NCP	WHMC	total_load[704]	3227.2570183703856	0.23793176992494075
